state,county,isMetro,parents_count,children_count,housing_cost,food_cost,transportation_cost,childcare_cost,median_family_income
ME,Washington County,False,1,1,9540.0,5412.81,12207.73,6253.79,54523.44
IN,Crawford County,False,1,0,6144.0,2780.53,12145.89,0.0,58426.4
GA,Murray County,True,2,0,6660.0,5554.15,11173.91,0.0,56741.38
SD,Sully County,False,1,2,8628.0,7079.35,14313.22,11234.55,72038.01
WV,Wayne County,True,2,3,11714.0178,9920.2,12645.97,17753.04,53795.42
TN,Sevier County,False,1,3,12804.0,9922.35,12494.6,10836.32,59792.08
MN,Big Stone County,False,1,0,5808.0,3548.29,15613.14,0.0,72433.34
FL,Calhoun County,False,2,3,12600.0,12006.74,13477.28,11184.21,58760.12
MI,Gladwin County,False,2,2,8808.0,9414.39,12363.86,13489.09,55774.11
KS,Ellis County,False,1,2,8880.0,6810.52,11398.75,9271.76,80334.77
PA,Huntingdon County,False,1,4,11736.0,11779.8,12266.24,16612.88,65400.61
FL,Gadsden County,True,1,2,8407.91676,6608.89,12804.38,9943.0,52053.92
MA,Dukes County,False,1,2,23712.0,8557.95,15261.09,18500.38,99233.49
MO,Callaway County,True,1,0,6768.0,3185.16,12956.19,0.0,70760.63
MN,Meeker County,False,1,4,11604.0,11743.22,15333.5,12697.86,80453.88
NJ,Gloucester County,True,2,3,20203.35,11933.53,13022.78,20609.44,108492.38
MT,Flathead County,False,1,0,7560.0,3288.92,13796.6,0.0,72235.16
IN,DeKalb County,False,2,3,11544.0,9773.78,14566.5,14743.73,70514.2
NE,Cheyenne County,False,2,4,12504.0,13797.44,13169.97,18384.29,76082.68
SD,Grant County,False,1,2,8820.0,7213.77,12371.65,11268.77,75611.36
VT,Franklin County,True,2,2,16229.1816,11303.27,13394.36,19609.42,83020.94
NY,Rockland County,True,2,3,31557.7764,12812.07,17179.03,42696.98,113247.62
WI,Manitowoc County,False,1,4,10956.0,10828.63,13550.33,17113.08,74558.87
WA,Ferry County,False,1,4,13344.0,11560.3,12628.9,13995.75,58375.06
TX,Ward County,False,1,0,7380.0,2977.66,13220.68,0.0,70328.34
MI,Antrim County,False,1,1,8808.0,5336.35,15192.36,6739.07,68512.91
MI,Sanilac County,False,2,4,11304.0,12408.73,12954.14,15866.38,58764.23
TX,Gonzales County,False,1,0,7572.0,2790.91,12237.62,0.0,64081.13
FL,Okeechobee County,False,1,0,7740.0,2936.16,13675.42,0.0,49806.2
OK,Murray County,False,2,1,8736.0,6960.05,12771.92,6064.38,63911.71
IL,Franklin County,False,1,4,10620.0,10792.05,15642.18,13198.94,55995.91
KY,Bracken County,True,2,0,6078.25668,5649.26,11458.52,0.0,69252.23
MT,Missoula County,True,2,3,16812.0,11896.92,10792.23,22320.1,75618.55
MI,Hillsdale County,False,2,3,11940.0,10066.63,14724.38,16124.22,61828.28
PA,Wyoming County,True,2,1,10204.37772,7433.52,13398.36,9236.48,72192.03
NM,Lea County,False,1,2,12312.0,7124.16,13978.54,15429.15,68769.62
VA,Manassas Park city,True,1,3,27977.1624,9952.24,14040.13,23333.23,92252.11
AR,Faulkner County,True,1,0,8229.33252,3112.54,12314.68,0.0,72333.73
MN,Stevens County,False,2,0,7728.0,5630.24,11276.66,0.0,89385.21
WV,Hardy County,False,1,1,8112.0,4633.0,15248.71,6105.73,55111.81
NE,Kearney County,False,2,3,11364.0,11640.68,12669.69,18182.02,80353.24
UT,Utah County,True,2,0,9961.5366,5763.38,12179.75,0.0,83108.22
NJ,Cumberland County,True,2,3,21552.0,11091.59,11017.11,21055.45,67857.8
MI,Berrien County,True,2,2,9612.0,8934.68,12093.69,16339.28,66206.66
LA,St. Landry Parish,False,1,1,8892.0,4678.87,14639.47,4220.62,46306.77
LA,St. Martin Parish,True,2,0,7348.0452,6067.72,18298.16,0.0,59555.91
OH,Ashtabula County,False,1,1,8808.0,4342.48,15235.52,6857.49,59115.4
UT,Emery County,False,2,3,10968.0,11347.83,11734.72,16840.97,71919.92
MS,Tunica County,True,1,4,12144.0,11340.8,10346.68,8925.16,42712.88
ID,Bonneville County,True,1,1,9820.27656,4556.54,14612.35,6808.6,73170.59
IL,Washington County,False,2,4,11364.0,12901.5,13499.96,13673.17,80728.04
SD,Edmunds County,False,2,0,6900.0,6105.76,11581.47,0.0,83119.52
KS,Scott County,False,1,1,8616.0,4281.32,17021.93,6211.77,77953.55
PA,Susquehanna County,False,2,2,9372.0,10643.66,14192.0,14709.59,68341.44
AR,Conway County,False,2,0,5952.0,5306.88,16148.46,0.0,56524.72
VA,Frederick County,True,2,2,13899.816,9594.28,11405.67,16729.69,90785.8
NJ,Cape May County,True,1,1,16332.0,5764.49,13091.5,10259.13,85940.2
SD,Custer County,True,2,2,11172.0,9714.21,15110.0,14620.29,71677.59
IA,Louisa County,False,2,1,8640.0,6936.37,12093.4,6787.77,73571.06
ID,Cassia County,False,2,0,6768.0,6048.7,15253.82,0.0,60098.07
OK,Beaver County,False,1,3,10860.0,8846.43,15268.31,15768.66,58312.43
MN,Cottonwood County,False,1,2,8808.0,6608.89,14017.47,11379.33,68255.18
KY,Breathitt County,False,2,1,7956.0,6746.98,12109.44,5686.97,38597.36
NC,Hyde County,False,2,1,8844.0,7717.6,12529.01,6524.45,48094.48
MI,Menominee County,False,1,4,12204.0,11340.8,14696.89,15956.83,59551.8
IL,Adams County,False,1,3,12348.0,8517.68,13814.22,13843.57,70670.27
IL,Moultrie County,False,2,1,8400.0,6533.92,15601.46,6993.92,73574.14
TX,Bell County,True,2,0,7678.8318,4926.46,12612.97,0.0,66235.41
NC,Bladen County,False,2,4,11616.0,13573.45,15681.68,11856.73,48299.84
KS,Hodgeman County,False,2,1,8616.0,6581.27,14148.84,6080.07,81688.12
UT,San Juan County,False,1,2,8808.0,7415.4,14650.71,14461.51,54156.86
CO,Arapahoe County,True,1,4,26457.4488,12474.88,15786.51,23552.41,96874.88
MT,Toole County,False,2,0,7560.0,5934.57,14493.75,0.0,65387.25
MO,Jefferson County,True,1,3,13868.31,9294.73,12343.11,15929.28,76963.7
LA,Jefferson Davis Parish,False,1,3,11760.0,9474.05,12075.77,8407.73,61899.13
AR,Lonoke County,True,1,0,7930.44648,3216.29,12931.12,0.0,72089.35
IA,Winnebago County,False,2,0,6516.0,5820.45,13751.5,0.0,70112.71
AR,Jackson County,False,1,1,7848.0,4281.32,15149.68,4772.24,45415.49
NC,Watauga County,False,2,0,7920.0,7056.82,13334.17,0.0,75930.7
MT,Richland County,False,1,0,8064.0,3693.54,14890.22,0.0,88563.75
KY,Wolfe County,False,2,4,10632.0,12363.94,14462.41,12443.77,36599.16
VA,Carroll County,False,2,4,11322.97044,14514.19,15682.3,12282.01,57871.91
IN,Shelby County,True,1,0,6992.90844,2739.03,11302.34,0.0,76154.55
MO,Sullivan part,True,2,2,11256.0,8724.8,15275.13,14323.04,65720.98
KY,Green County,False,2,4,9900.0,11826.37,13546.69,11869.26,50504.44
LA,St. Mary Parish,False,2,0,8832.0,5687.3,13781.08,0.0,52235.67
TN,Cheatham County,True,1,3,16700.1876,9354.51,14489.69,14461.13,73929.42
TN,Hancock County,False,2,3,10776.0,10945.17,12880.57,10189.44,44970.88
GA,Liberty County,True,1,1,11364.0,4587.12,15861.15,7311.24,52965.74
IA,Mitchell County,False,1,4,10668.0,10828.63,13512.34,11189.8,71349.01
VA,Prince William County,True,1,1,21581.0856,5137.58,13922.16,12297.52,121311.28
MT,Missoula County,True,2,1,11748.0,7693.93,12508.36,9275.35,75618.55
MO,Morgan County,False,1,3,10728.0,8786.66,12937.24,10110.07,50839.18
FL,Franklin County,False,2,3,12936.0,10908.56,11867.27,11413.52,57063.8
MN,Kittson County,False,2,3,11016.0,11567.47,17254.98,12400.52,76782.97
VA,Accomack County,False,1,2,8556.0,6631.29,14375.67,11001.74,59259.16
AR,Grant County,True,2,2,8964.0,9204.52,12870.28,12639.05,66795.03
TX,Madison County,False,2,2,10644.0,8215.11,16144.12,8699.12,65173.68
GA,Evans County,False,2,0,5904.0,5991.64,10857.91,0.0,52445.14
NC,Caldwell County,True,1,3,10083.7962,8039.5,12026.76,13263.69,56791.7
NE,Colfax County,False,2,4,10956.0,13304.67,15313.4,17890.02,69273.79
MO,Adair County,False,2,0,6024.0,5097.65,13193.73,0.0,64729.06
TX,Cooke County,False,2,1,10080.0,7173.11,12769.43,4960.35,74995.27
TX,Mitchell County,False,1,3,11292.0,8846.43,10840.95,9352.26,80383.02
TN,Hardin County,False,1,1,8028.0,4648.29,14908.9,5390.51,51701.72
TN,Tipton County,True,1,0,7249.58208,3309.67,13941.33,0.0,71070.73
AK,Valdez-Cordova Census Area,False,2,3,16728.0,11459.65,12859.27,21330.9,101760.52
OK,Dewey County,False,2,1,9240.0,7764.95,14913.02,6149.1,67149.29
CO,Jefferson County,True,1,4,26190.9696,13023.63,12185.4,23427.11,106977.82
GA,Sumter County,False,2,2,8412.0,9204.52,13797.88,8389.45,52183.3
NM,Taos County,False,1,4,13728.0,13974.79,11635.67,16946.49,51373.13
VA,Buchanan County,False,1,4,10560.0,10865.22,10655.67,12173.29,41970.49
TN,Hickman County,True,1,3,12156.0,9205.07,12804.97,12427.33,54046.99
VA,Galax city,False,2,0,7470.4878,5630.24,15192.83,0.0,42071.12
CT,Hartford County,True,2,1,16017.9432,8120.05,14521.59,12629.05,98193.32
VA,Newport News city,True,1,4,17197.9308,11011.55,13593.13,17941.38,66614.31
TX,Freestone County,False,2,1,8808.0,6652.29,12350.88,4882.76,65152.11
NE,Custer County,False,1,0,5808.0,3081.41,12334.11,0.0,60944.18
SD,Brookings County,False,1,3,13392.0,10221.22,12735.96,14003.21,89316.41
MN,Washington County,True,1,2,18565.3764,7325.78,16455.79,26458.55,117614.71
FL,Santa Rosa County,True,2,4,18338.2296,16037.28,13587.69,13819.95,79213.47
CA,San Benito County,True,2,3,28752.0,16106.6,13320.08,16563.06,97108.99
FL,Sumter County,True,1,2,11352.0,7729.04,13264.78,11086.65,72456.95
ND,Sargent County,False,1,1,8808.0,4999.96,15789.29,6902.3,83580.56
FL,Escambia County,True,1,3,15966.7656,9683.26,15066.25,12975.88,66620.48
NY,Broome County,True,2,3,13463.6556,11384.44,15501.36,29291.27,70619.96
IA,Lucas County,False,2,2,10044.0,8544.91,12630.08,10924.97,71249.41
IN,Parke County,False,1,1,9300.0,4128.41,13660.37,6324.3,61647.55
OH,Lucas County,True,2,1,9399.72,6746.98,13543.73,8338.9,66438.73
GA,Taylor County,False,2,4,10104.0,13707.84,13821.55,9028.87,45474.02
LA,Caldwell Parish,False,2,0,8016.0,5782.4,15105.62,0.0,49863.7
NE,Thayer County,False,1,0,5808.0,2998.41,14412.03,0.0,69632.16
GA,Marion County,True,2,0,5158.65972,5953.59,16171.23,0.0,58063.93
WY,Campbell County,False,1,4,16200.0,11999.3,15809.67,25825.68,91476.85
WV,Nicholas County,False,1,0,6120.0,2946.54,16749.36,0.0,50178.93
MS,Kemper County,False,2,0,6228.0,5820.45,15725.41,0.0,38361.2
VA,Manassas city,True,1,0,16501.8828,3309.67,13350.98,0.0,89286.63
CA,Trinity County,False,1,3,14904.0,10012.01,15494.81,12307.73,51458.36
MN,Grant County,False,2,1,8808.0,6794.33,12626.22,6796.54,68155.58
WI,Vilas County,False,1,2,8832.0,7908.26,10833.6,14982.79,61062.27
MI,Arenac County,False,2,4,11820.0,12767.11,13206.48,16106.73,54604.55
IL,Saline County,False,2,4,11292.0,11647.19,13135.86,13377.16,55953.8
MN,Grant County,False,2,3,12600.0,10505.9,14811.49,12752.94,68155.58
KS,Doniphan County,True,1,0,5470.14072,3091.79,15677.03,0.0,66211.8
MS,George County,False,1,4,10812.0,10792.05,12919.73,4634.05,58202.55
WI,Washburn County,False,2,1,9036.0,7244.13,13829.99,8381.46,67513.81
NM,Bernalillo County,True,2,3,15694.71,11347.83,14599.61,17129.27,69691.71
VA,Buckingham County,True,1,0,6768.0,3423.79,13944.89,0.0,60623.81
GA,Telfair County,False,1,1,7776.0,4480.09,12665.34,4991.27,36270.58
WI,Ashland County,False,1,3,10956.0,9922.35,15133.54,17591.22,61142.36
MN,Aitkin County,False,2,3,11820.0,11164.8,14246.88,12601.11,62395.09
TN,Overton County,False,2,2,7956.0,10044.02,13223.79,8917.22,54550.13
TN,McNairy County,False,1,2,7956.0,6631.29,14294.23,9058.85,51199.6
OK,Payne County,False,2,1,9900.0,7220.46,13441.27,6555.7,65170.59
KS,Wallace County,False,2,1,8616.0,7386.17,13303.23,6071.72,81290.73
SD,Lincoln County,True,2,3,15992.4036,11091.59,16357.01,18448.03,97712.77
LA,Madison Parish,False,2,1,8700.0,7054.74,12193.06,4200.64,37241.95
MS,Coahoma County,False,2,4,10212.0,13887.03,13652.76,4396.71,37576.7
MS,Jefferson County,False,1,4,11304.0,11048.13,15599.82,4479.19,30972.15
AZ,Yuma County,True,2,4,15852.0,12184.75,13736.1,18330.53,51688.37
OH,Van Wert County,False,2,1,8808.0,6273.51,15219.66,6831.48,67089.73
GA,Colquitt County,False,2,4,9672.0,13618.25,13158.67,8863.75,45292.27
TX,Terry County,False,2,2,8808.0,9174.54,14806.1,8154.62,50651.27
NC,Lee County,False,2,2,9324.0,8424.98,10643.89,10857.14,61267.63
ID,Blaine County,False,1,0,8436.0,5094.19,14171.33,0.0,73218.86
NE,Arthur County,False,1,2,8928.0,6922.53,12450.06,15442.82,69470.95
WI,Sheboygan County,True,2,3,11820.0,11421.05,16437.1,17523.78,77918.64
KY,Boyle County,False,2,0,6744.0,4869.39,14406.49,0.0,64558.61
MO,Perry County,False,2,3,11556.0,10505.9,14849.96,10656.77,68947.26
CO,Costilla County,False,1,1,9288.0,5198.74,13311.2,7305.71,40987.82
NY,Kings County,True,1,4,29921.136,14194.29,13379.39,41475.36,70138.38
AR,Newton County,False,1,0,5748.0,3008.79,11142.33,0.0,53014.0
IN,Jackson County,False,2,0,7368.0,4812.33,14805.3,0.0,63763.84
OK,Choctaw County,False,1,0,5760.0,3060.66,11300.43,0.0,50738.55
MS,Jasper County,False,1,1,8232.0,4495.38,13599.44,2755.8,48201.27
NE,Hitchcock County,False,2,0,6684.0,5668.28,12938.11,0.0,67225.27
HI,Honolulu County,True,1,2,24876.0,10210.67,17757.38,19745.87,103898.37
UT,San Juan County,False,2,4,11004.0,14827.76,16412.2,16882.11,54156.86
MT,Glacier County,False,2,1,8808.0,7575.56,11706.57,6653.04,49266.09
VA,Dickenson County,False,2,4,10932.0,13394.26,13572.8,12463.28,43765.38
WY,Lincoln County,False,1,3,12816.0,8876.32,11200.13,23896.41,83945.09
MO,Lawrence County,False,1,1,7944.0,4480.09,11351.6,4784.02,54567.59
VA,Bland County,False,2,1,8412.0,6865.35,14832.18,6744.64,56451.82
GA,Harris County,True,1,4,12951.066,12145.63,13993.43,11933.58,94716.48
IL,Jersey County,True,2,2,8017.49268,8814.75,14600.19,14718.56,86755.51
AL,Etowah County,True,2,4,10824.0,13573.45,11562.45,15327.92,58943.92
WV,Clay County,True,2,4,8208.09084,12632.72,12987.28,15218.04,46735.99
NJ,Gloucester County,True,2,4,20203.35,14603.78,14037.48,20609.44,108492.38
IL,Bureau County,False,1,0,5856.0,3164.41,13310.63,0.0,72504.19
CO,Eagle County,False,2,3,25668.0,12995.1,15287.09,18150.75,96674.65
KY,Jefferson County,True,1,3,14971.1328,8816.55,13730.21,19147.86,75863.96
PA,Schuylkill County,False,1,1,8916.0,4617.7,12553.23,6903.9,66584.53
LA,Franklin Parish,False,2,4,10824.0,12991.09,13462.58,8304.26,43879.36
FL,Taylor County,False,1,3,11160.0,8936.09,13532.51,10872.04,51512.78
CO,Jackson County,False,1,0,9552.0,3994.42,10416.97,0.0,63076.9
MO,Iron County,False,1,1,7944.0,4327.19,13417.55,4761.83,49782.58
TX,Bastrop County,True,1,0,10543.73508,3174.79,13870.18,0.0,78419.73
CA,Trinity County,False,2,3,14904.0,12262.98,11077.66,12307.73,51458.36
NE,Lancaster County,True,1,2,10512.0,6765.71,11246.82,20263.6,83297.16
ND,Ramsey County,False,2,3,12600.0,11640.68,15171.79,13783.4,86567.59
LA,Jefferson Davis Parish,False,2,4,11760.0,14200.61,11114.68,8407.73,61899.13
VA,Augusta County,True,2,2,11275.25316,9804.16,10483.65,15113.06,75494.3
PA,Northumberland County,False,2,2,8688.0,9324.45,11981.99,14014.97,65194.21
SC,Bamberg County,False,2,3,12264.0,10762.14,14719.71,7958.21,53411.38
MS,Franklin County,False,1,0,6192.0,3112.54,12507.82,0.0,52104.23
MO,Audrain County,False,1,1,8100.0,4021.38,11979.88,4630.32,55012.21
OH,Cuyahoga County,True,1,3,13540.0536,9683.26,12968.66,16610.74,70358.12
AL,Etowah County,True,2,3,10824.0,11091.59,14235.01,15327.92,58943.92
IL,Williamson County,True,1,4,12228.0,9987.22,12932.23,17611.31,68744.98
TN,Hamblen County,True,2,1,9293.51004,6912.7,12643.13,7323.88,56017.47
NH,Hillsborough County,True,1,1,16934.5104,5382.23,15708.74,10891.99,103199.1
AK,Dillingham Census Area,False,2,1,15324.0,8092.42,12584.93,10744.24,57301.0
GA,Jefferson County,False,1,2,7776.0,6698.5,15211.59,8192.17,44970.88
GA,Candler County,False,1,0,6084.0,3143.66,14574.28,0.0,41114.11
VA,Accomack County,False,2,1,8556.0,7007.39,13870.1,6707.68,59259.16
AR,Poinsett County,True,2,3,9792.0,9663.96,13803.94,14058.01,50856.64
NM,Lincoln County,False,1,4,13248.0,11011.55,12144.06,16421.69,61200.89
GA,Coffee County,False,2,1,7776.0,6770.66,9474.35,4978.09,48596.6
TX,Orange County,True,2,1,10153.78272,6746.98,13762.38,6411.1,75767.44
MS,Claiborne County,False,2,3,10212.0,11530.86,13177.07,4396.71,29843.67
KS,Linn County,True,1,4,11351.68728,11413.97,13579.92,15620.6,64045.2
AR,Carroll County,False,2,3,9900.0,10908.56,11707.54,10176.99,59249.92
AR,Desha County,False,2,3,10572.0,10542.5,16131.85,10511.22,42579.39
MO,Shelby County,False,1,4,9876.0,9914.05,13193.18,10235.27,60625.86
AR,Crawford County,True,2,3,12244.2,10066.63,11491.57,15378.2,56559.63
GA,Putnam County,False,2,0,8100.0,5478.07,13467.16,0.0,64494.95
TN,Decatur County,False,1,1,7956.0,4724.74,14256.52,5349.43,54514.2
PA,Potter County,False,1,2,8688.0,6631.29,16803.38,14403.38,59642.16
CO,Mineral County,False,2,3,15936.0,13507.58,14677.44,14489.41,67065.09
GA,Putnam County,False,2,3,11472.0,10542.5,15162.38,9482.14,64494.95
NM,Sierra County,False,2,1,9024.0,6983.72,13112.34,7383.71,43435.77
CO,San Miguel County,False,1,4,24732.0,12291.96,10814.97,17612.43,96787.59
ME,Penobscot County,True,2,1,11802.02568,8427.81,12551.79,7563.62,69286.12
FL,Broward County,True,2,1,18120.0,8451.49,14484.73,8681.61,73116.17
VA,Brunswick County,False,1,4,11052.0,10718.89,15576.66,12418.65,52272.63
NE,Garfield County,False,2,3,12204.0,11896.92,14099.31,18250.59,62555.27
AK,Ketchikan Gateway Borough,False,1,0,10716.0,3071.84,11502.47,0.0,93116.7
LA,Beauregard Parish,False,2,4,12048.0,14111.01,16256.19,8751.42,66995.27
NE,Pawnee County,False,1,3,10956.0,9025.75,13075.65,17955.22,60754.21
IA,Ida County,False,2,3,11148.0,10798.75,12061.55,11392.26,77191.65
TX,Howard County,False,2,4,14388.0,13170.28,14682.2,10234.84,66959.33
ND,Pembina County,False,1,3,12600.0,10490.2,13210.75,13638.52,83668.87
NE,Boyd County,False,1,4,12204.0,12145.63,12134.85,18250.59,68027.23
VA,King and Queen County,False,2,0,7620.0,6162.82,10835.58,0.0,75361.84
MN,Carver County,True,2,1,16278.4404,9067.0,15128.63,14383.0,123232.48
MT,Treasure County,False,2,0,8400.0,6010.66,12566.65,0.0,56957.02
AR,Logan County,False,1,0,5172.0,2998.41,14675.46,0.0,50642.04
VT,Franklin County,True,2,4,20186.7888,16888.42,13804.48,21879.43,83020.94
AR,Jefferson County,True,2,1,9001.01148,6889.03,12168.97,5551.54,53527.41
LA,Iberia Parish,True,2,4,11844.0,13394.26,13091.48,10388.84,56205.38
FL,Baker County,True,2,4,12252.0,13887.03,11385.36,11839.0,74980.89
SC,Fairfield County,True,2,3,11269.905,11860.32,12458.04,9963.38,49046.35
KY,Kenton County,True,2,4,14239.0068,13483.86,10674.71,18599.52,84686.45
AL,Elmore County,True,1,0,7694.83812,3486.04,14225.2,0.0,74491.09
VA,Henry County,False,1,2,8214.24756,6295.25,14160.83,10886.03,51319.74
GA,Stephens County,False,2,4,11124.0,12632.72,14523.59,9232.63,61492.5
UT,Davis County,True,1,1,13423.7196,4740.03,14817.03,7306.3,94278.03
CO,Ouray County,False,1,0,12288.0,3672.79,11591.28,0.0,81192.16
AK,Skagway Municipality,False,1,0,10764.0,3201.63,13946.23,0.0,85446.3
WY,Converse County,False,1,0,7584.0,3320.04,14967.38,0.0,84359.92
ND,Towner County,False,1,0,6636.0,3278.54,13653.4,0.0,77987.44
TN,Houston County,False,2,0,6516.0,5934.57,15585.14,0.0,56116.04
NY,Schenectady County,True,2,2,12467.0928,10103.98,15160.2,26103.78,87621.12
GA,Jackson County,False,2,0,6948.0,6733.46,16118.09,0.0,76399.97
OH,Cuyahoga County,True,1,0,7133.23824,3361.54,14508.63,0.0,70358.12
TX,Kendall County,True,2,3,19296.0,11530.86,13106.31,15132.21,104523.7
ID,Clearwater County,False,2,0,7284.0,6391.08,15783.12,0.0,60097.05
WI,Iowa County,True,2,3,13476.0,11677.29,14664.98,18858.53,83614.45
MD,Wicomico County,True,2,3,17160.0,11311.23,13708.07,16667.73,71676.56
IN,Tippecanoe County,True,2,4,13947.0348,13080.69,17164.7,22649.51,76715.2
KS,Stafford County,False,1,1,8616.0,4418.93,12459.77,6006.1,66503.41
MO,Adair County,False,2,1,7944.0,6344.53,12686.69,4830.8,64729.06
MO,New Madrid County,False,2,1,7944.0,6557.6,15065.82,4579.44,48116.04
NE,Lancaster County,True,2,3,14616.0,11054.99,15675.02,23720.39,83297.16
NH,Coos County,False,2,2,9504.0,10763.59,14288.55,12547.52,64788.62
KY,Lee County,False,2,0,6216.0,5230.79,14752.43,0.0,35567.2
NE,Howard County,True,2,1,8808.0,6983.72,14230.33,8023.99,75884.5
TX,McMullen County,False,2,4,12528.0,12229.55,13078.95,9561.1,67513.81
TX,Palo Pinto County,False,2,0,7560.0,5401.98,13187.19,0.0,60378.4
MS,Pontotoc County,False,2,2,8208.0,9024.62,14056.44,4063.52,55368.52
MD,Garrett County,False,1,4,12600.0,11048.13,12116.41,12699.06,67678.1
AL,Macon County,False,1,0,6012.0,3382.29,12328.25,0.0,50030.05
CO,Garfield County,False,2,3,19632.0,12885.28,14055.63,16113.92,87048.15
AR,Randolph County,False,2,0,5952.0,5249.81,14305.17,0.0,45854.97
IA,Linn County,True,1,1,9528.0,4510.67,14360.68,9091.79,87810.05
OH,Logan County,False,1,0,7152.0,2718.28,13014.61,0.0,73515.61
IN,Johnson County,True,2,0,9603.95364,5401.98,16177.1,0.0,89296.9
VA,Lexington city,False,1,0,6033.1644,3247.41,13226.94,0.0,73470.43
FL,Gilchrist County,True,2,1,8608.4802,7835.97,10161.06,5912.86,51923.51
ID,Bingham County,False,1,1,9024.0,4464.8,16467.52,5893.75,66386.36
GA,Columbia County,True,2,2,12675.4428,9204.52,15328.2,12260.6,94539.88
NE,Brown County,False,2,1,8808.0,7930.67,15918.51,6534.96,62786.3
TX,Pecos County,False,1,1,10776.0,4480.09,14883.71,5313.31,62824.3
IL,Champaign County,True,2,3,13428.2844,11274.62,12492.02,18206.9,84634.09
OK,Carter County,False,2,1,9372.0,6960.05,12454.4,6192.05,64578.12
PA,Mercer County,True,1,1,8688.0,4220.15,13763.05,8659.88,67790.03
ID,Benewah County,False,1,1,9936.0,5152.87,15996.18,6030.83,54157.89
TX,Garza County,False,1,1,9084.0,4694.16,12488.37,4768.43,69988.46
NC,Cabarrus County,True,2,0,10480.28904,5706.32,14500.79,0.0,84125.8
PA,Luzerne County,True,2,4,12929.2908,13931.83,15199.04,19981.06,70272.89
KY,Wayne County,False,1,2,7956.0,5959.2,14866.35,10819.52,50186.12
IN,Jay County,False,2,3,10956.0,10176.44,12612.13,14498.76,61697.87
ME,Somerset County,False,1,3,12420.0,10071.79,14545.9,11798.38,56635.62
MO,Webster County,True,1,2,7855.29276,6474.47,16732.26,12350.07,60057.0
KS,Nemaha County,False,2,0,6636.0,5801.42,15833.31,0.0,82830.98
GA,Gordon County,False,1,2,7884.0,6272.84,13787.09,8354.37,53085.88
MN,Olmsted County,True,1,4,17809.1544,11413.97,11910.22,24404.45,99777.71
TN,Knox County,True,2,4,14836.4424,14782.97,14397.7,13423.76,78446.43
IL,Rock Island County,True,2,3,12360.9612,10249.66,15439.34,17518.46,72146.85
TX,Baylor County,False,1,3,12600.0,8577.45,15435.83,9384.74,59775.65
CO,Montezuma County,False,2,3,13812.0,11640.68,11290.71,13943.75,59350.55
GA,Wilkinson County,False,1,0,5880.0,3071.04,14055.69,0.0,52721.36
OK,Logan County,True,1,4,13115.748,11450.55,11599.26,17250.04,80012.34
WV,Barbour County,False,1,2,8112.0,6384.86,12418.12,11634.23,53576.7
SD,Fall River County,False,2,1,8784.0,7599.24,14133.6,5511.7,64658.21
KS,Osborne County,False,2,0,7128.0,5915.55,14864.63,0.0,72144.8
CA,San Benito County,True,1,1,20088.0,6727.78,14050.78,9765.77,97108.99
LA,St. Landry Parish,False,2,0,6744.0,5820.45,13953.16,0.0,46306.77
TX,Harrison County,False,1,4,12540.0,10353.05,11117.36,9588.44,66862.8
KS,Brown County,False,1,1,8616.0,4556.54,15592.58,6086.68,62054.18
FL,Lafayette County,False,2,0,8424.0,5535.13,12951.74,0.0,61979.22
PA,Lehigh County,True,2,4,17934.2748,14782.97,12295.44,23344.16,78469.02
OH,Seneca County,False,1,0,6516.0,2728.66,15619.79,0.0,65643.96
LA,Tensas Parish,False,1,1,8700.0,4648.29,13245.85,4269.04,34934.68
NC,Cherokee County,False,2,1,8580.0,7078.42,12738.63,6499.07,54234.9
SD,Hughes County,False,2,2,9000.0,9654.25,13228.91,11835.98,92499.57
PA,Huntingdon County,False,1,1,8688.0,4923.51,15899.8,6879.12,65400.61
MS,Itawamba County,False,1,3,10500.0,8936.09,11299.44,4415.44,54612.77
ID,Clearwater County,False,2,3,13104.0,12299.59,9749.72,13921.68,60097.05
TX,Shackelford County,False,1,3,11628.0,8697.0,12896.43,9280.94,56988.84
WY,Washakie County,False,2,0,7728.0,6200.87,14391.79,0.0,70096.28
MS,Bolivar County,False,1,1,8460.0,4648.29,13828.16,2782.88,41026.84
TX,Hale County,False,1,1,8808.0,4327.19,13017.84,4869.1,56754.73
NM,Guadalupe County,False,2,4,12600.0,14111.01,13622.73,15466.69,43576.45
CO,Hinsdale County,False,2,3,13452.0,13763.82,13746.35,13573.6,66626.63
WA,Jefferson County,False,2,2,11568.0,13372.04,12345.16,13410.42,68263.4
IA,Cedar County,False,1,0,6900.0,3039.91,13468.69,0.0,86226.69
MS,Leflore County,False,1,1,8208.0,4617.7,12280.15,2745.14,37621.88
MS,Washington County,False,2,3,10668.0,11421.05,10563.25,4491.1,40774.23
IA,Linn County,True,1,4,13608.0,10792.05,13133.53,15493.93,87810.05
TX,Lamar County,False,2,2,9216.0,7885.3,11966.61,8504.67,58432.56
OK,Nowata County,False,1,2,8820.0,6989.74,12127.98,14060.89,53953.55
GA,Screven County,False,2,2,7776.0,9234.5,13310.19,8154.92,56501.1
AK,Fairbanks North Star Borough,True,1,2,15612.0,6632.09,10444.23,24686.34,92407.16
AR,Cleburne County,False,2,2,8436.0,9294.46,14739.06,9184.0,56549.36
