state,county,isMetro,parents_count,children_count,housing_cost,food_cost,transportation_cost,childcare_cost,median_family_income
MO,Christian County,True,2,1,9697.30512,6936.37,13162.38,7192.04,72407.66
GA,Stephens County,False,1,3,11124.0,8428.02,12158.02,9232.63,61492.5
GA,Hart County,False,2,1,8376.0,6723.31,14014.16,5207.56,57610.07
OK,Sequoyah County,True,2,0,6494.5254,5877.51,13348.85,0.0,50230.28
TX,Willacy County,False,1,1,8808.0,3318.02,12862.37,4669.09,41038.13
LA,St. John the Baptist Parish,True,2,0,10066.875,6581.29,13570.01,0.0,65974.6
MT,Carter County,False,2,2,8808.0,9564.3,12106.28,14747.83,62636.39
PA,Montgomery County,True,2,2,17173.4928,10883.52,9823.55,22975.51,116070.36
IA,Plymouth County,True,2,4,12276.0,13707.84,13696.78,14529.36,82945.98
IA,Carroll County,False,1,3,11592.0,8906.21,14062.75,11333.35,82152.24
MT,Rosebud County,False,1,0,6168.0,3299.29,14868.54,0.0,71449.64
IA,Cass County,False,1,0,6228.0,2967.29,16044.27,0.0,68206.92
MA,Hampden County,True,2,0,10228.8618,6391.08,9877.02,0.0,74012.59
MN,St. Louis County,True,1,1,10610.90844,4862.35,13363.21,11417.71,78970.11
NE,Cheyenne County,False,2,3,12504.0,11274.62,14928.82,18384.29,76082.68
GA,Jones County,True,2,2,9078.98364,8694.82,12601.34,10024.74,66276.48
SC,Barnwell County,False,1,3,10776.0,8188.93,16557.23,7583.97,52139.14
AR,Crittenden County,True,2,3,11514.48048,10835.35,12791.21,14961.97,52440.01
WV,Mercer County,False,1,1,8112.0,4327.19,14212.86,5911.61,52988.33
TX,Lubbock County,True,2,0,8834.77884,5858.49,11701.46,0.0,71320.26
TX,King County,False,1,4,13284.0,10353.05,11377.09,9976.01,51769.49
KS,Dickinson County,False,2,4,11640.0,13887.03,13373.82,9840.16,65084.34
LA,West Carroll Parish,False,2,1,8700.0,7007.39,14060.86,4228.78,51323.85
WV,Wirt County,True,1,4,7783.43412,10023.8,15056.53,14815.43,56578.11
MI,Kalamazoo County,True,1,0,7567.845,3081.41,14046.06,0.0,79515.35
WI,Lincoln County,False,2,3,12336.0,11091.59,11749.9,17720.73,75255.05
LA,Tangipahoa Parish,True,2,3,13296.0,11677.29,13855.67,10715.12,62035.7
